Category,Subcategory,Tags,Indicator,Indicator Name,Indicator Measurement,Will Mock Detailed Data,Data by,Available Dimensions,Forecast Type,Threshold,Threshold Category,Flagged for Review,Value Data Type,Current Value,Current Value Date,Previous Value,Previous Value Date,Current vs Previous Delta,Current vs Previous Delta (%),Update Cadence/Frequency,Frequency,Lag,Status,Reliability Flag,Source,,Can be shared publicly? ,Data Steward
Healthcare system,Healthcare utilization,"Healthcare utilization, Bed census, Health care",Bed Census data in NYC % of available beds,Available beds,Percent of beds,,,NA,,0.85,,,Percentage,0.89,8/19/26,0.9,8/18/26,-0.01,-1.111111111,Daily at 3pm ET,Daily,1 day,,NA,Hospital Bed Capacity,,Yes,NA - External source
,Healthcare utilization,"Healthcare utilization, Bed census, Health care",Bed Census data in NYC ICU beds,ICU beds,Percent of beds,,,NA,,0.85,,,Percentage,0.89,8/19/26,0.9,8/18/26,-0.01,-1.111111111,Daily at 3pm ET,Daily,1 day,,NA,Hospital Bed Capacity,,Yes,NA - External source
,Healthcare utilization,"Healthcare utilization, Public health clinics, Health care",Public Health Clinic clinic cycle time,Clinic cycle time,Minutes,,"Location, clinic type","Location, Clinic type",,-,Severely Impacted,,String,Normal,8/19/26,High,8/18/26,NA,NA,"Daily, 9:01AM ",Daily,1 day,,NA,BPHC Clinic Data,,,Kelly Jamison and Christine Borges
,Healthcare utilization,"Healthcare utilization, Public health clinics,  Health care",Public Health Clinic visit volume,Clinic visit volume,Patients,,"Location, clinic type","Location, Clinic type",,-,Severely Impacted,,String,Low,8/19/26,High,8/12/26,NA,NA,"Daily, 9:01AM ",Daily,1 day,,NA,BPHC Clinic Data,,,Kelly Jamison and Christine Borges
,Priority diseases,"Priority diseases, Respiratory illness",% of ED visits with Respiratory Illness diagnosis,ED visits with respiratory illness diagnosis,Percent of ED visits,,,NA,,10% increase,,,Percentage,10.1,8/19/26,9.5,8/12/26,0.6,6.315789474,Weekly,Weekly,1 day,,NA,Syndromic,,,Ellen and Hilary
,Wastewater,"Priority diseases, Respiratory illness, Wastewater","Respiratory Virus Normalized Copies (SARS-CoV-2, RSV, Influenza A, and Influenza B) ","SARS-CoV-2, RSV, Influenza in Wastewater",Normalized viral load,,Pathogen,Pathogen,,5000000?,,,Number,8965465,8/19/26,5890456,8/12/26,3075009,52.20324199,Weekly,Weekly,3-5 days,,NA,Wastewater data server,,,Elizabeth Watts
,Wastewater,"Priority diseases, Respiratory illness, Wastewater","Wastewater detection status (Polio, Mpox Clade I, Mpox Clade II)","Polio, Mpox in Wastewater",Normalized viral load,,Pathogen,Pathogen,,-,Detected,,String,Detected,8/19/26,Not tested,8/12/26,NA,NA,Weekly,Weekly,3-5 days,,NA,Wastewater data server,,,Elizabeth Watts
,Food safety,"Food safety, 311, Food",311 foodborne disease complaints by individuals affected,Foodborne disease complaints,Number of people affected,,Number of people,"1-2 individuals, >2 individuals",,30?,,,Number,14,8/19/26,13,8/18/26,1,7.692307692,Daily,Daily,None,,NA,311 Complaint Data Repository,,,Joanne Casarell and Andrew Faciano
,Food safety,"Food safety, 311, Food",311 foodborne disease complaints 2025 and 2026,Foodborne disease complaints,Number of complaints,,Year,Year,,30,,,Number,6,8/19/26,13,8/18/26,-7,-53.84615385,Daily,Daily,None,,NA,311 Complaint Data Repository,,,Joanne Casarell and Andrew Faciano
,Environmental health,"Environmental health, Climate, Heat, Health care, ED data",Heat related ED visits,Heat-related ED visits,Number of visits,,,NA,,50,,,Number,30,8/19/26,35,8/18/26,-5,-14.28571429,Daily,Daily,?,,NA,Syndromic,,,Kathryn (Katie) Lane and Ramona
,Environmental health,"Environmental health, Climate, Heat",Heat index,Heat index,Degrees Farenheit,,,NA,,95,,,Number,74,8/19/26,72,8/18/26,2,2.777777778,Daily,Daily,1 day,,NA,GitHub,,Yes,Kathryn (Katie) Lane
,Environmental exposure,"Environmental health, Climate, Heat",Weather alerts from the National Weather Service,Weather alerts,,,,,,-,,,String,No Alerts,8/19/26,No Alerts,8/18/26,NA,NA,Daily,Daily,1 day,,NA,National Weather Service API,,Yes,
,Mortality,Mortality,All cause mortality trends and historical,Mortality,Number of deaths,,,,,110?,,,Number,90,8/19/26,77,8/18/26,13,16.88311688,Daily,Daily,2-3 days,,NA,MortalSS,,,Alejandro Castro
,Mortality,Mortality,New rare and reportable deaths,Rare and reportable deaths,Number of deaths,,Death type,Death type,,10?,,,Number,5,8/19/26,4,8/18/26,1,25,Daily,Daily,2-3 days,,NA,MortalSS,,,Alejandro Castro
,Mental health,"Mental health, Health care",Lack Needed Mental Health Treatment,People lacking needed mental health treatment,Percent of people,,,,,,,,Percentage,12,3/1/26,9,12/1/25,3,33.33333333,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,,Yangchen
,Mental health,Mental health,Adult anxiety and depression,Anxiety and depression (adults),Percent of people,,,,,,,,Percentage,20,4/1/23,14,2/1/24,6,42.85714286,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,,Yangchen
Affordability/insecurity,Reported financial insecurity,"Affordability, Insecurity",Financial Stress,Financial stress,Percent of people,,Stress level,Stress level,,,,,Percentage,55,3/1/25,50,7/1/26,5,10,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,,Yangchen
Affordability/insecurity,Reported food insecurity,"Affordability, Insecurity, Food",Emergency food sources,Uses emergency food sources,Percent of people,,Frequency,"Often or sometimes, rarely or never",,,,,Percentage,70.3,3/1/26,71.5,12/1/25,-1.2,-1.678321678,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,,Yangchen
Affordability/insecurity,Reported food insecurity,"Affordability, Insecurity, Food",Enough to eat,Has enough to eat,Percent of people,,Frequency,"Enough, not always, often not, sometimes not",,,,,Percentage,36.3,3/1/26,25.3,12/1/25,11,43.47826087,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,,Yangchen
Affordability/insecurity,Reported food insecurity,"Affordability, Insecurity, Food",Run out of food,Has run out of food,Percent of people,,,None,,,,,Percentage,22,3/1/26,18,12/1/25,4,22.22222222,HOP dependent,Varies,HOP dependent,,NA,NYC Health Opinion Poll,,,Yangchen
Health care utilization,ED Visits,"Healthcare utilization, Health care, ED data",ED Visits Overall,ED visits,Number,,,None,,,,,Number,344000,8/1/26,340000,7/1/26,4000,1.176470588,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Visits,"Healthcare utilization, Health care, ED data",ED Visits by Age,"ED visits, by age",Number,,Age group,Age Groups,,,,,Number,54345,8/1/26,52467,7/1/26,1878,3.579392761,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
Health care utilization,ED Visits,"Healthcare utilization, Health care, ED data, Disability",ED Visits by Ambulatory Care Sensitive Conditions,"ED visits, by ambulatory care sensitive conditions",Number,,,None,,,,,Number,57654,8/1/26,55234,7/1/26,2420,4.381359308,"Monthly for PHISS, but can be daily",Daily,?,,NA,Syndromic,,,Ellen and Hilary
