Category,Subcategory,Indicator,Will Mock Detailed Data,Available Dimensions,Forecast Type,Threshold,Threshold Category,Flagged for Review,Value Data Type,Current Value,Current Value Date,Previous Value,Previous Value Date,Current vs Previous Delta,Current vs Previous Delta (%),Update Cadence/Frequency,Frequency,Lag,Status,Reliability Flag,Source,Can be shared publicly? ,Data Steward
Healthcare system,Healthcare utilization,Bed Census data in NYC % of available beds,,NA,,0.85,,,Percentage,0.89,8/19/26,0.9,8/18/26,-0.01,-1.111111111,Daily at 3pm ET,Daily,1 day,,NA,Hospital Bed Capacity,Yes,NA - External source
,Healthcare utilization,Bed Census data in NYC ICU beds,,NA,,0.85,,,Percentage,0.89,8/19/26,0.9,8/18/26,-0.01,-1.111111111,Daily at 3pm ET,Daily,1 day,,NA,Hospital Bed Capacity,Yes,NA - External source
,Healthcare utilization,Public Health Clinic clinic cycle time,,"Location, Clinic type",,-,Severely Impacted,,String,Normal,8/19/26,High,8/18/26,NA,NA,"Daily, 9:01AM ",Daily,1 day,,NA,BPHC Clinic Data,,Kelly Jamison and Christine Borges
,Healthcare utilization,Public Health Clinic visit volume,,"Location, Clinic type",,-,Severely Impacted,,String,Low,8/19/26,High,8/12/26,NA,NA,"Daily, 9:01AM ",Daily,1 day,,NA,BPHC Clinic Data,,Kelly Jamison and Christine Borges
,Priority diseases,% of ED visits with Respiratory Illness diagnosis,,NA,,10% increase,,,Percentage,10.1,8/19/26,9.5,8/12/26,0.6,6.315789474,Weekly,Weekly,1 day,,NA,Syndromic,,Ellen and Hilary
,Wastewater,"Respiratory Virus Normalized Copies (SARS-CoV-2, RSV, Influenza A, and Influenza B) ",,Pathogen,,5000000?,,,Number,8965465,8/19/26,5890456,8/12/26,3075009,52.20324199,Weekly,Weekly,3-5 days,,NA,Wastewater data server,,Elizabeth Watts
,Wastewater,"Wastewater detection status (Polio, Mpox Clade I, Mpox Clade II)",,Pathogen,,-,Detected,,String,Detected,8/19/26,Not tested,8/12/26,NA,NA,Weekly,Weekly,3-5 days,,NA,Wastewater data server,,Elizabeth Watts
,Food safety,311 foodborne disease complaints by individuals affected,,"1-2 individuals, >2 individuals",,30?,,,Number,14,8/19/26,13,8/18/26,1,7.692307692,Daily,Daily,None,,NA,311 Complaint Data Repository,,Joanne Casarell and Andrew Faciano
,Food safety,311 foodborne disease complaints 2025 and 2026,,Year,,30,,,Number,6,8/19/26,13,8/18/26,-7,-53.84615385,Daily,Daily,None,,NA,311 Complaint Data Repository,,Joanne Casarell and Andrew Faciano
,Environmental health,Heat related ED visits,,NA,,50,,,Number,30,8/19/26,35,8/18/26,-5,-14.28571429,Daily,Daily,?,,NA,Syndromic,,Kathryn (Katie) Lane and Ramona
,Environmental health,Heat index,,NA,,95,,,Number,74,8/19/26,72,8/18/26,2,2.777777778,Daily,Daily,1 day,,NA,GitHub,Yes,Kathryn (Katie) Lane
